titre;publication;date;lu
Le Noyé;Le Gaulois;16 août 1888;true
L’Infirme;Le Gaulois;21 octobre 1888;true
Un portrait;Le Gaulois;29 octobre 1888;true
Hautot père et fils;L’Écho de Paris;5 janvier 1889;true
Un soir;L’Illustration;19 et 26 janvier 1889;true
Boitelle;L’Écho de Paris;22 janvier 1889;true
Allouma;L’Écho de Paris;10 et 15 février 1889;true
Le Rendez-vous;L’Écho de Paris;23 février 1889;true
Le Port;L’Écho de Paris;15 mars 1889;true
Le Masque;L’Écho de Paris;10 mai 1889;true
L’Épreuve;L’Écho de Paris;13 juillet 1889;true
Alexandre;L’Écho de Paris;2 septembre 1889;true
L’Endormeuse;L’Écho de Paris;16 septembre 1889;true
Mouche;L’Écho de Paris;7 février 1890;true
Le Champs d’oliviers;Le Figaro;du 14 au 23 février 1890;true
L’Inutile Beauté;L’Écho de Paris;du 2 au 7 avril 1890;true
Qui sait ?;L’Écho de Paris;6 avril 1890;true
Les Tombales;Gil Blas;9 janvier 1891;true
Après;Le colporteur;1900;true
Le Colporteur;Le colporteur;1900;true
