"index","titre","publication","date","lu","annee"
204,"Le Garde","Le Gaulois","8 octobre 1884",True,"1884"
205,"Berthe","Le Figaro","20 octobre 1884",True,"1884"
206,"Bombard","Gil Blas","28 octobre 1884",True,"1884"
207,"La confession (Toine)","Le Figaro","10 novembre 1884",True,"1884"
208,"La Revanche","Gil Blas","18 novembre 1884",True,"1884"
209,"Tribunaux rustiques","Gil Blas","25 novembre 1884",True,"1884"
210,"La Chambre 11","Gil Blas","9 décembre 1884",True,"1884"
211,"L’Armoire","Gil Blas","16 décembre 1884",True,"1884"
212,"Les Prisonniers","Gil Blas","30 décembre 1884",True,"1884"
213,"À vendre","Le Figaro","5 janvier 1885",True,"1885"
214,"Toine","Gil Blas","6 janvier 1885",True,"1885"
215,"Le Baptême","Gil Blas","13 janvier 1885",False,"1885"
216,"L’Inconnue","Gil Blas","27 janvier 1885",True,"1885"
217,"Blanc et Bleu","Gil Blas","3 février 1885",False,"1885"
218,"Nos Anglais","Gil Blas","10 février 1885",True,"1885"
219,"Lettre d’un fou","Gil Blas","17 février 1885",False,"1885"
220,"Le Père Mongilet","Gil Blas","24 février 1885",True,"1885"
221,"Le Moyen de Roger","Gil Blas","3 mars 1885",True,"1885"
222,"En wagon","Gil Blas","24 mars 1885",True,"1885"
223,"Petit Soldat","Le Figaro","13 avril 1885",True,"1885"
224,"Une lettre","Gil Blas","12 juin 1885",False,"1885"
225,"Un échec","Gil Blas","16 juin 1885",True,"1885"
226,"Joseph","Gil Blas","21 juillet 1885",True,"1885"
227,"Fini","Le Gaulois","27 juillet 1885",False,"1885"
228,"L’Épingle","Gil Blas","13 août 1885",True,"1885"
229,"La Confidence","Gil Blas","20 août 1885",True,"1885"
230,"Mes vingt-cinq jours","Gil Blas","25 août 1885",False,"1885"
231,"Un fou","Le Gaulois","2 septembre 1885",True,"1885"
232,"Imprudence","Gil Blas","15 septembre 1885",True,"1885"
233,"La Bête à Maît’ Belhomme","Gil Blas","22 septembre 1885",True,"1885"
234,"Les Bécasses","Gil Blas","20 octobre 1885",True,"1885"
235,"Ça ira","Gil Blas","10 novembre 1885",True,"1885"
236,"Monsieur Parent","Monsieur Parent","décembre 1885",True,"1885"
237,"La Petite Roque","Gil Blas","du 18 au 23 décembre 1885",True,"1885"
238,"Sauvée","Gil Blas","22 décembre 1885",False,"1885"
239,"L’Épave","Gil Blas","1er janvier 1886",True,"1886"
240,"Mademoiselle Perle","supplément littéraire du Figaro","16 janvier 1886",True,"1886"
241,"L’Ermite","Gil Blas","26 janvier 1886",True,"1886"
242,"Sur les chats","Gil Blas","9 février 1886",True,"1886"
243,"Rosalie Prudent","Gil Blas","2 mars 1886",True,"1886"
244,"Madame Parisse","Gil Blas","16 mars 1886",True,"1886"
245,"Julie Romain","Le Gaulois","20 mars 1886",True,"1886"
246,"Voyage de santé","Le Petit journal","18 avril 1886",False,"1886"
247,"Le Signe","Gil Blas","27 avril 1886",True,"1886"
248,"Le Père Amable","Gil Blas","du 30 avril au 4 mai 1886",True,"1886"
249,"Misère humaine","Gil Blas","8 juin 1886",False,"1886"
250,"Au bois","Gil Blas","22 juin 1886",True,"1886"
251,"Jour de fête","Gil Blas","20 juillet 1886",False,"1886"
252,"Une famille","Gil Blas","3 août 1886",True,"1886"
253,"Le Diable","Le Gaulois","5 août 1886",True,"1886"
254,"Un cas de divorce","Gil Blas","31 août 1886",True,"1886"
255,"L’Auberge","Les Lettres et les Arts","1er septembre 1886",True,"1886"
256,"La question du latin","Le Gaulois","2 septembre 1886",False,"1886"
257,"Le marquis de Fumerol","Gil Blas","5 octobre 1886",True,"1886"
258,"Le fermier","Le Gaulois","11 octobre 1886",False,"1886"
259,"Le Horla (première version)","Gil Blas","26 octobre 1886",False,"1886"
260,"Le Trou","Gil Blas","9 novembre 1886",True,"1886"
261,"Cri d’alarme","Gil Blas","23 novembre 1886",False,"1886"
262,"Amour","Gil Blas","7 décembre 1886",True,"1886"
263,"Clochette","Gil Blas","21 décembre 1886",True,"1886"
264,"Le Vagabond","La Nouvelle Revue","1er janvier 1887",True,"1887"
265,"Étrennes","Gil Blas","7 janvier 1887",False,"1887"
266,"Madame Hermet","Gil Blas","18 janvier 1887",False,"1887"
267,"Les Rois","Le Gaulois","23 janvier 1887",True,"1887"
268,"Une Soirée (Le Rosier de Madame Husson)","Gil Blas","29 mars 1887",True,"1887"
269,"La Porte","Gil Blas","3 mai 1887",False,"1887"
270,"La Baronne","Gil Blas","17 mai 1887",True,"1887"
271,"Le Horla","Le Horla","25 mai 1887",True,"1887"
272,"La Morte","Gil Blas","31 mai 1887",True,"1887"
273,"La Nuit","Gil Blas","14 juin 1887",True,"1887"
274,"Le Rosier de Madame Husson","La nouvelle Revue","15 juin 1887",True,"1887"
275,"Le Voyage du Horla","Le Figaro","16 juillet 1887",False,"1887"
276,"Le Lapin","Gil Blas","19 juillet 1887",True,"1887"
277,"Le Père","Gil Blas","26 juillet 1887",True,"1887"
278,"L’Ordonnance","Gil Blas","23 août 1887",True,"1887"
279,"Moiron","Gil Blas","27 septembre 1887",False,"1887"
280,"L’Assassin","Gil Blas","1er novembre 1887",True,"1887"
281,"Duchoux","Le Gaulois","14 novembre 1887",True,"1887"
282,"Comment on cause","Gil Blas","29 novembre 1887",False,"1887"
283,"L’Homme de Mars","Paris-Noël","1887-1888",False,"1888"
284,"Les Épingles","Gil Blas","10 janvier 1888",True,"1888"
285,"Divorce","Gil Blas","21 février 1888",True,"1888"
286,"Nos lettres","Le Gaulois","29 février 1888",False,"1888"
287,"Les 25 Francs de la supérieure","Gil Blas","28 mars 1888",True,"1888"
288,"Le Noyé","Le Gaulois","16 août 1888",True,"1888"
289,"L’Infirme","Le Gaulois","21 octobre 1888",True,"1888"
290,"Un portrait","Le Gaulois","29 octobre 1888",True,"1888"
291,"Hautot père et fils","L’Écho de Paris","5 janvier 1889",True,"1889"
292,"Un soir","L’Illustration","19 et 26 janvier 1889",True,"1889"
293,"Boitelle","L’Écho de Paris","22 janvier 1889",True,"1889"
294,"Allouma","L’Écho de Paris","10 et 15 février 1889",True,"1889"
295,"Le Rendez-vous","L’Écho de Paris","23 février 1889",True,"1889"
296,"Le Port","L’Écho de Paris","15 mars 1889",True,"1889"
297,"Le Masque","L’Écho de Paris","10 mai 1889",True,"1889"
298,"L’Épreuve","L’Écho de Paris","13 juillet 1889",True,"1889"
299,"Alexandre","L’Écho de Paris","2 septembre 1889",False,"1889"
300,"L’Endormeuse","L’Écho de Paris","16 septembre 1889",True,"1889"
301,"Mouche","L’Écho de Paris","7 février 1890",True,"1890"
302,"Le Champs d’oliviers","Le Figaro","du 14 au 23 février 1890",True,"1890"
303,"L’Inutile Beauté","L’Écho de Paris","du 2 au 7 avril 1890",True,"1890"
304,"Qui sait ?","L’Écho de Paris","6 avril 1890",True,"1890"
305,"Les Tombales","Gil Blas","9 janvier 1891",True,"1891"
306,"Après","Le colporteur","1900",False,"1900"
307,"Le Colporteur","Le colporteur","1900","","1900"
